isocode,isonum,country,rugged,rugged_popw,rugged_slope,rugged_lsd,rugged_pc,land_area,lat,lon,soil,desert,tropical,dist_coast,near_coast,gemstones,rgdppc_2000,rgdppc_1950_m,rgdppc_1975_m,rgdppc_2000_m,rgdppc_1950_2000_m,q_rule_law,cont_africa,cont_asia,cont_europe,cont_oceania,cont_north_america,cont_south_america,legor_gbr,legor_fra,legor_soc,legor_deu,legor_sca,colony_esp,colony_gbr,colony_fra,colony_prt,colony_oeu,africa_region_n,africa_region_s,africa_region_w,africa_region_e,africa_region_c,slave_exports,dist_slavemkt_atlantic,dist_slavemkt_indian,dist_slavemkt_saharan,dist_slavemkt_redsea,pop_1400,european_descent
BOL,68,Bolivia,0.853,0.9109999999999999,2.343,0.258,13.57,108438.0,-16.71,-64.66199999999999,31.807,0.0,64.878,0.655,0.0,0,2398.855,1919.359,2515.915,2574.755,2153.277,-0.327,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,829897.0,26.732
BRA,76,Brazil,0.24,0.25,0.654,0.076,0.5579999999999999,845942.0,-10.775,-53.085,18.783,0.0,88.56700000000001,0.642,9.68309,12159,7300.865,1671.723,4189.509,5556.415,3761.573,-0.257,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,,,,,931150.0,74.43
BRB,52,Barbados,0.963,0.695,2.5810000000000004,0.289,3.823,43.0,13.167,-59.555,30.588,0.0,100.0,0.002,100.0,0,15290.579,,,,,0.76,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,3403.0,
BRN,96,Brunei Darussalam,0.52,0.134,1.3659999999999999,0.162,5.0889999999999995,527.0,4.521,114.74799999999999,62.29,0.0,100.0,0.023,100.0,0,,,,,,0.59,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,2328.0,
BTN,64,Bhutan,6.74,4.913,19.325,1.962,96.475,4700.0,27.416999999999998,90.435,66.365,0.0,0.0,0.389,0.0,0,,,,,,-0.27699999999999997,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,36082.0,0.0
BWA,72,Botswana,0.18100000000000002,0.478,0.488,0.048,0.301,56673.0,-22.189,23.814,15.249,1.455,0.0,0.764,0.0,208687,7702.508000000001,348.50699999999995,1223.49,4268.641,1631.317,0.58,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0.0,5.686,5.765,5.857,4.3,80312.0,1.5
CAF,140,Central African Republic,0.19699999999999998,0.257,0.528,0.06,0.033,62300.0,6.574,20.487,10.967,0.0,97.382,1.081,0.0,10802,1148.0510000000002,771.577,781.799,575.543,757.8380000000001,-1.07,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,2009.941,5.642,8.772,2.84,2.293,387580.0,0.6
CAN,124,Canada,0.775,0.37,2.695,0.23,9.122,909351.0,61.495,-98.334,16.794,0.0,0.0,1.43,4.4433,5166,27289.26,7291.48,14316.263,22360.119,14002.496000000001,1.757,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,174110.0,85.33
CCK,166,Cocos (Keeling) Islands,0.015,0.018000000000000002,0.031,0.005,0.0,1.0,-12.122,96.867,,0.0,100.0,0.0,100.0,0,,,,,,,0,0,0,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
CHE,756,Switzerland,4.761,1.45,14.999,1.3880000000000001,66.06,4000.0,46.806000000000004,8.226,39.341,0.0,0.0,0.278,0.0,0,30161.29,9063.698,17224.018,22474.859,16696.838,2.023,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,600000.0,98.5
CHL,152,Chile,2.481,0.677,7.365,0.731,38.199,74880.0,-37.937,-71.384,22.158,15.489,0.0,0.07400000000000001,68.3825,0,9115.475,3669.742,4273.292,10310.834,5636.808000000001,1.183,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,553265.0,59.19
CHN,156,China,1.8780000000000001,0.708,5.492999999999999,0.537,28.648000000000003,932748.0,36.564,103.836,22.836,5.77,0.301,0.987,5.76513,4410,3928.315,448.022,871.181,3420.866,1268.328,-0.35700000000000004,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,80943756.0,0.0
CIV,384,Cote d'Ivoire,0.22399999999999998,0.159,0.594,0.069,0.493,31800.0,7.622999999999999,-5.553999999999999,26.151,0.0,100.0,0.284,16.359,3239,1575.628,1040.878,1800.013,1352.019,1536.27,-0.86,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,52645.949,4.186,9.457,3.353,4.794,435857.0,0.0
CMR,120,Cameroon,0.515,0.545,1.374,0.157,4.031000000000001,46540.0,5.697,12.743,27.829,0.0,94.12,0.389,10.9018,0,1882.6870000000001,670.951,1051.615,1082.339,1036.539,-1.287,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,66718.812,5.642,8.772,3.003,3.051,1317285.0,0.0
COD,180,Democratic Republic of the Congo,0.44299999999999995,0.531,1.177,0.126,2.763,226705.0,-2.8789999999999996,23.658,16.000999999999998,0.0,94.866,1.016,0.686405,87149,668.663,569.742,760.789,216.95,611.0930000000001,-2.05,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,767000.0,5.712000000000001,7.643,3.748,2.687,3593277.0,0.46
COG,178,Congo,0.152,0.41100000000000003,0.406,0.049,0.243,34150.0,-0.831,15.245999999999999,4.063,0.0,100.0,0.457,4.83001,0,957.403,1198.2069999999999,2191.133,2005.219,1914.5729999999999,-1.413,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,94662.92199999999,5.527,7.9239999999999995,3.697,3.227,238219.0,0.0
COK,184,Cook Islands,0.96,0.594,2.641,0.3,14.999,24.0,-19.213,-158.97799999999998,25.0,0.0,100.0,0.0,100.0,0,,,,,,0.86,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
COL,170,Colombia,0.885,0.89,2.376,0.27699999999999997,14.366,110950.0,3.838,-72.866,30.444000000000003,0.0,89.76299999999999,0.379,16.7275,0,6243.656,2152.841,3622.2259999999997,5095.795999999999,3661.9190000000003,-0.767,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,902880.0,45.6
COM,174,Comoros,3.3280000000000003,2.1719999999999997,9.049,1.063,64.479,186.1,-11.888,43.67100000000001,56.043,0.0,100.0,0.003,100.0,0,1770.2179999999998,560.305,804.062,580.913,730.933,-1.28,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,10.131,1.754,4.846,2.61,0.0,0.0
CPV,132,Cape Verde,2.367,1.399,6.502000000000001,0.759,40.048,403.0,15.942,-23.980999999999998,11.663,0.0,0.0,0.004,100.0,0,4859.108,449.648,524.742,1776.535,809.993,0.71,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0.0,3.647,11.6,3.4819999999999998,6.465,0.0,41.4
CRI,188,Costa Rica,2.112,1.044,5.707999999999999,0.623,36.61,5106.0,9.969,-84.199,52.082,0.0,94.01700000000001,0.031,100.0,0,8621.291,1963.132,4396.0070000000005,6173.734,3955.164,0.637,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,74647.0,60.39
CUB,192,Cuba,0.528,0.293,1.4480000000000002,0.153,6.129,10982.0,21.625999999999998,-79.018,45.946999999999996,0.0,100.0,0.02,100.0,0,,2046.226,2404.2870000000003,2415.604,2334.104,-0.877,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,95479.0,63.0
CXR,162,Christmas Island,1.321,1.422,3.477,0.40299999999999997,14.025,13.5,-10.488,105.64299999999999,,0.0,100.0,0.0,100.0,0,,,,,,,0,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
CYM,136,Cayman Islands,0.096,0.085,0.237,0.027999999999999997,0.0,26.0,19.414,-80.926,100.0,0.0,100.0,0.001,100.0,0,,,,,,1.515,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
CYP,196,Cyprus,2.718,0.909,7.867000000000001,0.706,44.071999999999996,924.0,35.049,33.235,26.866,0.0,0.0,0.012,100.0,0,20318.0,,,,,0.8170000000000001,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,150000.0,1.0
CZE,203,Czech Republic,0.884,0.578,2.845,0.252,4.154,7727.0,49.739,15.334000000000001,88.65299999999999,0.0,0.0,0.426,0.0,0,15373.23,,,9155.582,,0.7929999999999999,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,1801067.0,100.0
DEU,276,Germany,0.597,0.405,1.906,0.168,3.0010000000000003,34877.0,51.11,10.392000000000001,61.338,0.0,0.0,0.24600000000000002,19.7358,0,25481.43,3880.887,12040.607,18943.516,11932.706,1.71,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,6500000.0,97.6
DJI,262,Djibouti,2.432,0.804,6.416,0.627,39.024,2318.0,11.735,42.58,0.0,0.0,0.0,0.038,100.0,0,1881.967,1499.582,2065.445,1102.5430000000001,1647.355,-0.5770000000000001,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,4.176,14.408,2.682,2.351,0.064,34822.0,
DMA,212,Dominica,0.003,0.008,0.005,0.001,0.0,75.0,15.427,-61.356,36.405,0.0,100.0,0.003,100.0,0,5931.715,,,,,0.495,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,824.0,
DNK,208,Denmark,0.18899999999999997,0.191,0.611,0.054000000000000006,0.0,4243.0,55.986999999999995,10.027000000000001,56.165,0.0,0.0,0.019,100.0,0,28750.61,6943.104,13621.125,22975.162,13991.603000000001,1.837,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,600000.0,99.2
DOM,214,Dominican Republic,1.641,0.519,4.495,0.484,26.179000000000002,4838.0,18.895,-70.493,39.479,0.0,87.81700000000001,0.028999999999999998,100.0,0,6410.803000000001,1026.788,2111.321,3649.014,1989.486,-0.52,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,39145.0,52.0
DZA,12,Algeria,0.51,1.368,1.445,0.14,4.885,238174.0,28.168000000000003,2.647,9.59,23.276999999999997,0.0,0.752,4.17952,0,5417.91,1364.74,2521.953,2864.551,2389.185,-1.153,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,61834.148,6.559,14.912,0.985,3.654,1588836.0,0.0
ECU,218,Ecuador,1.278,0.7659999999999999,3.446,0.405,20.09,27684.0,-1.4340000000000002,-78.77,44.308,0.0,73.165,0.157,37.3544,0,3373.415,1862.933,3459.407,3203.386,3209.836,-0.5870000000000001,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,553265.0,31.976
EGY,818,Egypt,0.723,0.27399999999999997,2.001,0.18600000000000003,5.763999999999999,99545.0,26.561999999999998,29.781999999999996,0.006999999999999999,16.498,0.0,0.325,22.7899,0,3598.329,909.903,1420.783,2936.6740000000004,1711.68,-0.03,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1491.701,16.393,4.667,0.43,1.113,4182558.0,0.0
ERI,232,Eritrea,2.481,1.911,6.662999999999999,0.6579999999999999,37.141,10100.0,15.365,38.848,20.146,1.764,0.0,0.10400000000000001,56.1576,0,911.8839999999999,,,,,-0.307,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,133000.0,12.967,3.1460000000000004,1.814,0.07,101512.0,1.9
ESH,732,Western Sahara,0.203,0.301,0.565,0.057,0.20199999999999999,26600.0,24.674,-13.138,0.0,9.019,0.0,0.14800000000000002,33.6288,0,,,,,,,1,0,0,0,0,0,,,,,,0,0,0,0,0,1,0,0,0,0,0.0,4.9319999999999995,12.435,2.049,5.215,2439.0,
ESP,724,Spain,1.689,0.81,5.062,0.47200000000000003,23.372,49900.0,40.231,-3.6439999999999997,64.134,0.0,0.0,0.131,42.9055,0,21764.83,2188.97,8346.302,15621.72,7811.794,1.3330000000000002,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,5500000.0,99.24
EST,233,Estonia,0.12300000000000001,0.188,0.414,0.035,0.0,4239.0,58.673,25.549,62.516999999999996,0.0,0.0,0.135,37.0373,0,9762.76,,,11710.01,,0.527,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,69282.0,100.0
ETH,231,Ethiopia,1.57,1.725,4.1930000000000005,0.44299999999999995,20.128,100000.0,8.622,39.635999999999996,46.128,1.008,29.455,0.466,2.2633099999999997,0,635.794,,,,,-0.823,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1310000.0,12.589,2.7060000000000004,2.543,0.51,1639589.0,0.0
FIN,246,Finland,0.32799999999999996,0.268,1.202,0.092,0.13699999999999998,30459.0,64.48100000000001,26.24,2.097,0.0,0.0,0.324,8.79128,0,25553.88,4253.287,11441.303,19770.363,11059.542,1.8969999999999998,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,100000.0,100.0
FJI,242,Fiji,1.396,0.5820000000000001,3.7230000000000003,0.42100000000000004,14.011,1827.0,-17.447,161.988,98.29299999999999,0.0,100.0,0.009000000000000001,100.0,0,4949.898,,,,,-0.09300000000000001,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,139322.0,2.2
FLK,238,Falkland Islands (Malvinas),0.264,0.214,0.8590000000000001,0.083,0.7859999999999999,1217.0,-51.745,-59.382,0.0,0.0,0.0,0.005,100.0,0,,,,,,,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
FRA,250,France,1.0979999999999999,0.496,3.406,0.313,12.07,55010.0,46.56,2.551,59.93899999999999,0.0,0.0,0.172,34.6184,0,25698.01,5271.312,13251.077,21025.375,12907.095,1.3969999999999998,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,11000000.0,93.4
FRO,234,Faeroe Islands,2.253,1.3090000000000002,8.215,0.665,39.927,140.0,62.073,-6.885,0.0,0.0,0.0,0.001,100.0,0,,,,,,,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,10000.0,
FSM,583,Micronesia; Federated States of,1.3530000000000002,0.919,3.61,0.423,17.095,70.0,6.6739999999999995,157.754,32.857,0.0,100.0,0.0,100.0,0,,,,,,-0.365,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,15427.0,
GAB,266,Gabon,0.218,0.5820000000000001,0.583,0.07,0.434,25767.0,-0.623,11.784,11.978,0.0,100.0,0.195,28.1246,5200,6118.661999999999,3108.377,9405.868,3847.075,5359.929,-0.5529999999999999,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,27402.172000000002,5.531000000000001,8.367,3.7030000000000003,3.529,138320.0,1.0
GBR,826,United Kingdom of Great Britain and Northern Ireland,0.568,0.21,1.8780000000000001,0.175,3.6430000000000002,24269.0,54.15,-2.9010000000000002,48.239,0.0,0.0,0.034,96.3607,0,26332.05,6939.374,11847.087,20352.869,12332.872,1.7830000000000001,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,3306643.0,94.6
GEO,268,Georgia,3.659,0.8590000000000001,11.258,1.067,59.17,6949.0,42.178999999999995,43.513000000000005,34.021,0.0,0.0,0.18100000000000002,33.1835,0,1880.45,,,3243.627,,-1.033,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,275547.0,3.0
GHA,288,Ghana,0.228,0.25,0.601,0.071,0.371,22754.0,7.962999999999999,-1.208,65.738,0.0,100.0,0.28300000000000003,19.3048,13275,1892.808,1121.7939999999999,1246.881,1269.883,1217.556,-0.297,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1610000.0,4.773,9.3,3.174,4.332,912300.0,0.0
